"The existing material request {0} could not be withdrawn, so the plan was not saved. Sort that request out first.","Mavjud {0} material so'rovini qaytarib bo'lmadi, shuning uchun reja saqlanmadi. Avval o'sha so'rovni hal qiling."
"These materials are the other operator's to plan, not yours: {0}","Bu materiallarni boshqa operator rejalashtiradi, siz emas: {0}"
"This order's material has already been written off per operator, but 'Allow Continuous Material Consumption' is switched off in Manufacturing Settings — finishing now would count that material a second time. Ask a manager to switch it back on.","Bu buyurtmaning materiali operator bo'yicha allaqachon hisobdan chiqarilgan, lekin Ishlab chiqarish sozlamalarida ""Allow Continuous Material Consumption"" o'chirilgan — hozir yakunlash bu materialni ikkinchi marta hisoblaydi. Rahbardan uni qayta yoqishni so'rang."
#,#
% of total,Jami %
(empty),(bo'sh)
(no name),(ismsiz)
(none),(yoʿq)
(only for half-rate),
"(path to the JSON, or the JSON inline).",
+998 XX XXX XX XX,
...,
0,
0 = no hard lock; past edits still ask for confirmation.,0 = qattiq qulf yo'q; o'tgan tahrirlar baribir tasdiq so'raydi.
0.00,0.00
0–30,0–30
1 line: price below agreed,1 qator: narx shartnomadan past
1 USD =,1 USD =
1:1 Foreign Postings,
1C ClientBank Exchange format (.txt). Uzbek bank-client export.,1C ClientBank Exchange formati (.txt). Bank-mijoz eksporti.
1C Sync Log,1C Sinxronizatsiya Jurnali
{countries} countries met,{countries} mamlakat talabi bajarildi
{countries} countries needed,{countries} mamlakat kerak
31–60,31–60
{min} quotes met,{min} ta taklif talabi bajarildi
{min} quotes needed,{min} ta taklif kerak
61–90,61–90
7-day schedule,7 kunlik jadval
70% balance due 7 days before Iran arrival,Eronga yetib kelishdan 7 kun oldin 70% to‘lov
70% payment,70% to‘lov
70% Payment Amount,70% to‘lov summasi
70% Payment Date,70% to‘lov sanasi
70% payment date,70% to‘lov sanasi
70% Payment Status,70% to‘lov holati
70% payment status,70% to‘lov holati
70% PE,70% TT
90+,90+
A cancelled bill cannot be linked to an import: {0}.,Bekor qilingan hisobni importga bog'lab bo'lmaydi: {0}.
A cancelled Commercial Invoice cannot be invoiced.,Bekor qilingan tijorat invoysi bo‘yicha hisob-faktura yozib bo‘lmaydi.
A category is required.,Turkum talab qilinadi.
A category named {0} already exists.,{0} nomli toifa allaqachon mavjud.
A certificate number is required.,Sertifikat raqami talab qilinadi.
A cleared customs declaration is active: its duty and excise replace any ,
A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).,Rasmiylashtirilgan bojxona deklaratsiyasi faol: uning boji va aktsizi keyingi vaucherdagi «O‘zbekiston bojxona boji» qatorini almashtiradi (QQS hech qachon kapitallashtirilmaydi).
"A client request id is required, so a refused attempt can be traced.","So‘rov identifikatori talab qilinadi, shunda rad etilgan urinishni kuzatish mumkin."
A company with this name already exists.,Bu nomdagi kompaniya allaqachon mavjud.
