"The existing material request {0} could not be withdrawn, so the plan was not saved. Sort that request out first.","Mevcut {0} malzeme talebi geri çekilemedi, bu yüzden plan kaydedilmedi. Önce o talebi çözün."
"These materials are the other operator's to plan, not yours: {0}","Bu malzemeleri diğer operatör planlar, siz değil: {0}"
"This order's material has already been written off per operator, but 'Allow Continuous Material Consumption' is switched off in Manufacturing Settings — finishing now would count that material a second time. Ask a manager to switch it back on.","Bu emrin malzemesi operatör bazında zaten düşülmüş, ama Üretim Ayarları'nda ""Allow Continuous Material Consumption"" kapalı — şimdi bitirmek o malzemeyi ikinci kez sayar. Bir yöneticiden tekrar açmasını isteyin."
#,#
% of total,Toplam %
(empty),(boş)
(no name),(isimsiz)
(none),(yok)
(only for half-rate),
"(path to the JSON, or the JSON inline).",
+998 XX XXX XX XX,
...,
0,
0 = no hard lock; past edits still ask for confirmation.,0 = sabit kilit yok; geçmiş düzenlemeler yine onay ister.
0.00,0.00
0–30,0–30
1 line: price below agreed,1 satır: fiyat sözleşmeden düşük
1 USD =,1 USD =
1:1 Foreign Postings,
1C ClientBank Exchange format (.txt). Uzbek bank-client export.,1C ClientBank Exchange formatı (.txt). Banka-istemci dışa aktarımı.
1C Sync Log,1C Senkronizasyon Günlüğü
2 countries met,2 ülke şartı karşılandı
2 countries needed,2 ülke gerekli
31–60,31–60
5 quotes met,5 teklif şartı karşılandı
5 quotes needed,5 teklif gerekli
61–90,61–90
7-day schedule,7 günlük takvim
70% balance due 7 days before Iran arrival,İran'a varıştan 7 gün önce %70 ödeme
70% payment,%70 ödeme
70% Payment Amount,%70 Ödeme Tutarı
70% Payment Date,%70 Ödeme Tarihi
70% payment date,%70 ödeme tarihi
70% Payment Status,%70 Ödeme Durumu
70% payment status,%70 ödeme durumu
70% PE,%70 ÖF
90+,90+
A cancelled bill cannot be linked to an import: {0}.,İptal edilmiş bir fatura bir ithalata bağlanamaz: {0}.
A cancelled Commercial Invoice cannot be invoiced.,İptal edilmiş ticari fatura faturalandırılamaz.
A category is required.,Kategori gereklidir.
A category named {0} already exists.,{0} adında bir kategori zaten var.
A certificate number is required.,Sertifika numarası gereklidir.
A cleared customs declaration is active: its duty and excise replace any ,
A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).,Kapatılmış bir gümrük beyannamesi etkin: gümrük vergisi ve ÖTV'si sonraki fişte herhangi bir Özbekistan Gümrük Vergisi maliyet satırının yerini alır (KDV asla sermayeleştirilmez).
