"The existing material request {0} could not be withdrawn, so the plan was not saved. Sort that request out first.","Существующую заявку на материалы {0} не удалось отозвать, поэтому план не сохранён. Сначала разберитесь с этой заявкой."
"These materials are the other operator's to plan, not yours: {0}","Эти материалы планирует другой оператор, а не вы: {0}"
"This order's material has already been written off per operator, but 'Allow Continuous Material Consumption' is switched off in Manufacturing Settings — finishing now would count that material a second time. Ask a manager to switch it back on.","Материал этого заказа уже списан по операторам, но «Allow Continuous Material Consumption» в настройках производства выключен — завершение сейчас посчитает этот материал второй раз. Попросите руководителя включить его обратно."
#,#
% of total,% от итога
(empty),(пусто)
(no name),(без имени)
(none),(нет)
(only for half-rate),
"(path to the JSON, or the JSON inline).",
+998 XX XXX XX XX,
...,
0,
0 = no hard lock; past edits still ask for confirmation.,0 = без жёсткой блокировки; прошлые изменения всё равно требуют подтверждения.
0.00,"0,00"
0–30,0–30
1 line: price below agreed,1 строка: цена ниже договорной
1 USD =,1 USD =
1:1 Foreign Postings,
1C ClientBank Exchange format (.txt). Uzbek bank-client export.,Формат 1C ClientBank Exchange (.txt). Экспорт из банк-клиента.
1C Sync Log,Журнал синхронизации 1C
1C:Enterprise sync log appears here.,Здесь отображается журнал синхронизации 1C:Предприятие.
2 countries met,Требование по 2 странам выполнено
2 countries needed,Требуются поставщики из 2 стран
31–60,31–60
5 quotes met,Требование по 5 предложениям выполнено
5 quotes needed,Требуются 5 предложений
61–90,61–90
7-day schedule,График на 7 дней
70% balance due 7 days before Iran arrival,70% оплаты за 7 дней до прибытия в Иран
70% payment,Платёж 70%
70% Payment Amount,Сумма оплаты 70%
70% Payment Date,Дата оплаты 70%
70% payment date,Дата 70% оплаты
70% Payment Status,Статус оплаты 70%
70% payment status,Статус 70% оплаты
70% PE,ПП 70%
90+,90+
A cancelled bill cannot be linked to an import: {0}.,Отменённый счёт нельзя привязать к импорту: {0}.
A cancelled Commercial Invoice cannot be invoiced.,Отменённый коммерческий инвойс нельзя провести.
A category is required.,Требуется категория.
A category named {0} already exists.,Категория с именем {0} уже существует.
A certificate number is required.,Требуется номер сертификата.
A cleared customs declaration is active: its duty and excise replace any ,
A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).,Действует оформленная таможенная декларация: её пошлина и акциз заменяют строку «Таможенная пошлина Узбекистана» в следующем ваучере (НДС не капитализируется).
"A client request id is required, so a refused attempt can be traced.","Требуется идентификатор запроса, чтобы отклонённую попытку можно было отследить."
A company with this name already exists.,Компания с таким названием уже существует.
A container ahead of its invoice is not corrected automatically — fix it on the container.,"Контейнер, опережающий свой инвойс, не исправляется автоматически — исправьте его на карточке контейнера."
A customer cannot be its own parent.,Клиент не может быть родителем самому себе.
A draft Purchase Invoice is created for review — it is not posted to the ledger until Accounts submits it. The customs docs value is excluded.,"Черновик счёта на закупку создаётся для проверки — он не попадает в книгу, пока бухгалтерия его не проведёт. Таможенная (docs) стоимость не учитывается."
A few quick questions and you're ready to sell.,Пара быстрых вопросов — и можно продавать.
A GRN checklist is created from a commercial invoice once cargo is ready to receive.,"Лист приёмки создаётся из коммерческого инвойса, когда груз готов к приёмке."
A group title is required.,
"A hand-entered {0} cost on container {1} is already capitalized by {2}. The bill was linked, but its cost was not added a second time.","Введённая вручную стоимость «{0}» по контейнеру {1} уже капитализирована в {2}. Счёт привязан, но его сумма не добавлена повторно."
A kassir with this Telegram User ID already exists.,Кассир с таким Telegram User ID уже существует.
"A line on this order is priced by size, so the measurement columns cannot be hidden.",Одна из позиций заказа считается по размеру — колонки размеров скрыть нельзя.
A mapping for employee {0} with device user ID {1} already exists ({2}).,
A new version is available.,Доступна новая версия.
A password reset email will be sent. The account is disabled until the user sets a password.,"На адрес будет отправлено письмо с инструкциями по восстановлению пароля. Учётная запись отключена до тех пор, пока пользователь не установит пароль."
A Payroll Attendance Summary for employee {0} and period {1} already exists: {2},
A quotation needs at least one line.,Предложение должно содержать хотя бы одну строку.
A rejection reason is required.,Требуется причина отклонения.
A role left empty keeps the operator already assigned.,Пустая роль оставляет назначенного оператора без изменений.
A selected location does not belong to this customer chain.,Выбранная локация не относится к этой цепочке клиентов.
A status correction reason is required to move {0} back from {1} to {2}.,"Чтобы вернуть {0} с {1} на {2}, укажите причину корректировки статуса."
A status with that name already exists.,
A step is late when its average wait passes the threshold set for that step,"Шаг считается просроченным, когда среднее ожидание превышает его порог"
A submitted import order can no longer be edited here.,
A submitted truck receipt can no longer be edited.,Проведённую приёмку грузовика больше нельзя редактировать.
A supplier is required.,Требуется поставщик.
A tender lot must belong to a Parent Tender.,Лот тендера должен принадлежать основному тендеру.
A termination reason is mandatory.,Причина закрытия обязательна.
A truck number is required.,Требуется номер грузовика.
A valid commercial invoice for this company is required.,Требуется действительный коммерческий инвойс для этой компании.
A valid email is required,Требуется действительный адрес электронной почты
A valid supplier is required.,Требуется действительный поставщик.
A valid truck for this company is required.,Требуется действительный грузовик для этой компании.
A valid veterinary certificate is required to complete this GRN.,Для завершения этого GRN требуется действующий ветеринарный сертификат.
A valid veterinary certificate is required.,Требуется действующий ветеринарный сертификат.
"A ≤ {0}%, B ≤ {1}%, C rest — by revenue.","A ≤ {0}%, B ≤ {1}%, C прочее — по выручке."
"A ≤ {0}%, B ≤ {1}%, C rest — by spend.","A ≤ {0}%, B ≤ {1}%, C прочее — по расходам."
"A ≤ {0}%, B ≤ {1}%, C rest — by {2}. Submitted; returns netted.","A ≤ {0}%, B ≤ {1}%, C прочее — по {2}. Проведённые; возвраты нетто."
Add Material,Добавить материал
All materials are already in WIP.,Все материалы уже переданы в цех.
Already {0},Уже {0}
AR balance per customer as of the selected date — click a row to see the ledger behind the balance.,"Дебиторская задолженность по каждому клиенту на выбранную дату — нажмите на строку, чтобы увидеть лежащий за ней регистр."
Abbr,Сокр.
Absent,Отсутствует
Add at least one cash desk before switching {0} to the V1 engine: V1 reads every cash account from this table and cannot register a transfer without one.,Добавьте хотя бы одну кассу перед переключением {0} на движок V1: V1 читает все кассовые счета из этой таблицы и без неё не может зарегистрировать перевод.
Agreement {0} cannot move from {1} to {2}.,Договор {0} не может перейти из состояния {1} в {2}.
Agreement {0} is closed ({1}) and cannot be rescheduled.,Договор {0} закрыт ({1}) и не может быть перепланирован.
