"The existing material request {0} could not be withdrawn, so the plan was not saved. Sort that request out first.","The existing material request {0} could not be withdrawn, so the plan was not saved. Sort that request out first."
"These materials are the other operator's to plan, not yours: {0}","These materials are the other operator's to plan, not yours: {0}"
"This order's material has already been written off per operator, but 'Allow Continuous Material Consumption' is switched off in Manufacturing Settings — finishing now would count that material a second time. Ask a manager to switch it back on.","This order's material has already been written off per operator, but 'Allow Continuous Material Consumption' is switched off in Manufacturing Settings — finishing now would count that material a second time. Ask a manager to switch it back on."
#,#
% of total,% of total
(defaults to today),(defaults to today)
(empty),(empty)
(no name),(no name)
(none),(none)
(only for half-rate),(only for half-rate)
(optional),(optional)
"(path to the JSON, or the JSON inline).","(path to the JSON, or the JSON inline)."
+998 XX XXX XX XX,+998 XX XXX XX XX
...,...
0,0
0 = no hard lock; past edits still ask for confirmation.,0 = no hard lock; past edits still ask for confirmation.
0.00,0.00
0–30,0–30
1 line: price below agreed,1 line: price below agreed
1 USD =,1 USD =
1 {currency} =,1 {currency} =
1. Request the refund,1. Request the refund
1:1 Foreign Postings,1:1 Foreign Postings
1C ClientBank Exchange format (.txt). Uzbek bank-client export.,1C ClientBank Exchange format (.txt). Uzbek bank-client export.
1C Sync Log,1C Sync Log
{countries} countries met,{countries} countries met
{countries} countries needed,{countries} countries needed
2. Decide,2. Decide
3. Pay the money back,3. Pay the money back
31–60,31–60
{min} quotes met,{min} quotes met
{min} quotes needed,{min} quotes needed
61–90,61–90
7-day schedule,7-day schedule
70% balance due 7 days before Iran arrival,70% balance due 7 days before Iran arrival
70% payment,70% payment
70% Payment Amount,70% Payment Amount
70% Payment Date,70% Payment Date
70% payment date,70% payment date
70% Payment Status,70% Payment Status
70% payment status,70% payment status
70% PE,70% PE
90+,90+
<1h,<1h
"A client request id is required, so a refused attempt can be traced.","A client request id is required, so a refused attempt can be traced."
A Finance Manager has to add the cash desk accounts to Remittance Settings before a transfer can be registered.,A Finance Manager has to add the cash desk accounts to Remittance Settings before a transfer can be registered.
A cancelled bill cannot be linked to an import: {0}.,A cancelled bill cannot be linked to an import: {0}.
A cancelled Commercial Invoice cannot be invoiced.,A cancelled Commercial Invoice cannot be invoiced.
A category is required.,A category is required.
A category named {0} already exists.,A category named {0} already exists.
A certificate number is required.,A certificate number is required.
A cleared customs declaration is active: its duty and excise replace any ,A cleared customs declaration is active: its duty and excise replace any 
A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).,A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).
"A client request id is required, so a retry cannot pay out twice.","A client request id is required, so a retry cannot pay out twice."
"A client request id is required, so a retry cannot refund twice.","A client request id is required, so a retry cannot refund twice."
"A client request id is required, so a retry cannot register twice.","A client request id is required, so a retry cannot register twice."
A company with this name already exists.,A company with this name already exists.
A container ahead of its invoice is not corrected automatically — fix it on the container.,A container ahead of its invoice is not corrected automatically — fix it on the container.
A customer cannot be its own parent.,A customer cannot be its own parent.
"A desk is configured for {desk}, but the receiver obligation account is held in {actual}. A transfer paying out in {desk} would be refused.","A desk is configured for {desk}, but the receiver obligation account is held in {actual}. A transfer paying out in {desk} would be refused."
A draft Purchase Invoice is created for review — it is not posted to the ledger until Accounts submits it. The customs docs value is excluded.,A draft Purchase Invoice is created for review — it is not posted to the ledger until Accounts submits it. The customs docs value is excluded.
A few quick questions and you're ready to sell.,A few quick questions and you're ready to sell.
A GRN checklist is created from a commercial invoice once cargo is ready to receive.,A GRN checklist is created from a commercial invoice once cargo is ready to receive.
A group title is required.,A group title is required.
"A hand-entered {0} cost on container {1} is already capitalized by {2}. The bill was linked, but its cost was not added a second time.","A hand-entered {0} cost on container {1} is already capitalized by {2}. The bill was linked, but its cost was not added a second time."
A kassir with this Telegram User ID already exists.,A kassir with this Telegram User ID already exists.
"A line on this order is priced by size, so the measurement columns cannot be hidden.","A line on this order is priced by size, so the measurement columns cannot be hidden."
"A locked code is reopened by a Finance Manager, never by a timer.","A locked code is reopened by a Finance Manager, never by a timer."
A mapping for employee {0} with device user ID {1} already exists ({2}).,A mapping for employee {0} with device user ID {1} already exists ({2}).
A new version is available.,A new version is available.
A password reset email will be sent. The account is disabled until the user sets a password.,A password reset email will be sent. The account is disabled until the user sets a password.
A Payroll Attendance Summary for employee {0} and period {1} already exists: {2},A Payroll Attendance Summary for employee {0} and period {1} already exists: {2}
"A pickup expiry policy is not configured yet, so this transfer does not expire.","A pickup expiry policy is not configured yet, so this transfer does not expire."
A quotation needs at least one line.,A quotation needs at least one line.
A reason is required to reject a refund.,A reason is required to reject a refund.
A reason is required to request a refund.,A reason is required to request a refund.
A registered transfer cannot be unposted — the obligation must exist ,A registered transfer cannot be unposted — the obligation must exist 
A rejection reason is required.,A rejection reason is required.
A role left empty keeps the operator already assigned.,A role left empty keeps the operator already assigned.
A selected location does not belong to this customer chain.,A selected location does not belong to this customer chain.
A status correction reason is required to move {0} back from {1} to {2}.,A status correction reason is required to move {0} back from {1} to {2}.
A status with that name already exists.,A status with that name already exists.
A step is late when its average wait passes the threshold set for that step,A step is late when its average wait passes the threshold set for that step
A submitted import order can no longer be edited here.,A submitted import order can no longer be edited here.
A submitted truck receipt can no longer be edited.,A submitted truck receipt can no longer be edited.
A supplier is required.,A supplier is required.
A tender lot must belong to a Parent Tender.,A tender lot must belong to a Parent Tender.
A termination reason is mandatory.,A termination reason is mandatory.
A transfer id is required.,A transfer id is required.
A truck number is required.,A truck number is required.
A valid commercial invoice for this company is required.,A valid commercial invoice for this company is required.
A valid email is required,A valid email is required
A valid supplier is required.,A valid supplier is required.
A valid truck for this company is required.,A valid truck for this company is required.
A valid veterinary certificate is required to complete this GRN.,A valid veterinary certificate is required to complete this GRN.
A valid veterinary certificate is required.,A valid veterinary certificate is required.
A wrong code costs an attempt and eventually locks the transfer.,A wrong code costs an attempt and eventually locks the transfer.
"A ≤ {0}%, B ≤ {1}%, C rest — by revenue.","A ≤ {0}%, B ≤ {1}%, C rest — by revenue."
"A ≤ {0}%, B ≤ {1}%, C rest — by spend.","A ≤ {0}%, B ≤ {1}%, C rest — by spend."
"A ≤ {0}%, B ≤ {1}%, C rest — by {2}. Submitted; returns netted.","A ≤ {0}%, B ≤ {1}%, C rest — by {2}. Submitted; returns netted."
Add Material,Add Material
All materials are already in WIP.,All materials are already in WIP.
Already {0},Already {0}
AR balance per customer as of the selected date — click a row to see the ledger behind the balance.,AR balance per customer as of the selected date — click a row to see the ledger behind the balance.
Abbr,Abbr
Absent,Absent
Accounting,Accounting
Accounting exception,Accounting exception
Accounting: {status},Accounting: {status}
Add at least one cash desk before switching {0} to the V1 engine: ,Add at least one cash desk before switching {0} to the V1 engine: 
Add desk,Add desk
Age / expiry,Age / expiry
Aged open obligations,Aged open obligations
Agreement {0} cannot move from {1} to {2}.,Agreement {0} cannot move from {1} to {2}.
Agreement {0} is closed ({1}) and cannot be rescheduled.,Agreement {0} is closed ({1}) and cannot be rescheduled.
All cash desks,All cash desks
"Add at least one cash desk for {0}: every cash account comes from this table, and without a row the register desk cannot take a transfer.","Add at least one cash desk for {0}: every cash account comes from this table, and without a row the register desk cannot take a transfer."
"All time · the same balance as the card above, split by desk","All time · the same balance as the card above, split by desk"
Amount the sender hands over,Amount the sender hands over
An exchange rate is required to register a transfer.,An exchange rate is required to register a transfer.
Any currency,Any currency
Any status,Any status
Append-only,Append-only
Applied rate,Applied rate
Apply to all lines,Apply to all lines
Approval note,Approval note
Approval records the decision only. No cash leaves the drawer until step 3 is posted — do not pay the sender on the strength of this step.,Approval records the decision only. No cash leaves the drawer until step 3 is posted — do not pay the sender on the strength of this step.
Approve refund,Approve refund
Approve this refund?,Approve this refund?
Approving does not move money.,Approving does not move money.
Approving records the decision and nothing else. No cash leaves the drawer at this step — the sender is paid back only when the refund is completed.,Approving records the decision and nothing else. No cash leaves the drawer at this step — the sender is paid back only when the refund is completed.
As of {stamp},As of {stamp}
Assign,Assign
Assign operators,Assign operators
Audit,Audit
Background jobs are not running. Queued and scheduled work is paused — tell an administrator.,Background jobs are not running. Queued and scheduled work is paused — tell an administrator.
Balance · all time · sits against obligations nobody has collected,Balance · all time · sits against obligations nobody has collected
Bank and cash accounts,Bank and cash accounts
Base currency: {currency},Base currency: {currency}
Base rate the register leg posted at,Base rate the register leg posted at
Belongs to another company,Belongs to another company
"Box counts cannot be saved on this site: {0} missing on {1}. An administrator must re-run patch {2}; bench migrate will not, it has already run once.","Box counts cannot be saved on this site: {0} missing on {1}. An administrator must re-run patch {2}; bench migrate will not, it has already run once."
Cash account,Cash account
"Cash account {account} on desk {branch} could not be read, so its currency was not verified.","Cash account {account} on desk {branch} could not be read, so its currency was not verified."
"Cash desk row {row} is incomplete. Desk, currency and cash account are all required.","Cash desk row {row} is incomplete. Desk, currency and cash account are all required."
Cash desks,Cash desks
Cash in and cash out cover {period}.,Cash in and cash out cover {period}.
Cash out of this desk,Cash out of this desk
Cash returned,Cash returned
Charged at registration,Charged at registration
Check the code,Check the code
"Check the sender's ID at the counter, then type their name exactly as it was registered. The refund is paid to that person and nobody else.","Check the sender's ID at the counter, then type their name exactly as it was registered. The refund is paid to that person and nobody else."
