#,#
% of total,Жами %
(no name),(исмсиз)
(none),(йўқ)
(only for half-rate),
"(path to the JSON, or the JSON inline).",
+998 XX XXX XX XX,
...,
0,
0 = no hard lock; past edits still ask for confirmation.,0 = қаттиқ қулф йўқ; ўтган таҳрирлар барибир тасдиқ сўрайди.
0.00,0.00
0–30,0–30
1 line: price below agreed,1 қатор: нарх шартномадан паст
1 USD =,1 USD =
1:1 Foreign Postings,
1C ClientBank Exchange format (.txt). Uzbek bank-client export.,1C ClientBank Exchange формати (.txt). Банк-мижоз экспорти.
1C Sync Log,1C Синхрон журнали
2 countries met,2 мамлакат талаби бажарилди
2 countries needed,2 мамлакат керак
31–60,31–60
5 quotes met,5 та таклиф талаби бажарилди
5 quotes needed,5 та таклиф керак
61–90,61–90
7-day schedule,7 кунлик жадвал
70% balance due 7 days before Iran arrival,Эронга етиб келишдан 7 кун олдин 70% тўлов
70% payment,70% тўлов
70% Payment Amount,70% тўлов суммаси
70% Payment Date,70% тўлов санаси
70% payment date,70% тўлов санаси
70% Payment Status,70% тўлов ҳолати
70% payment status,70% тўлов ҳолати
70% PE,70% ТТ
90+,90+
A cancelled bill cannot be linked to an import: {0}.,Бекор қилинган ҳисобни импортга боғлаб бўлмайди: {0}.
A cancelled Commercial Invoice cannot be invoiced.,Бекор қилинган тижорат инвойси бўйича ҳисоб-фактура ёзиб бўлмайди.
A category is required.,Туркум талаб қилинади.
A category named {0} already exists.,{0} номли турғун аллақачон мавжуд.
A certificate number is required.,Сертификат рақами талаб қилинади.
A cleared customs declaration is active: its duty and excise replace any ,
A cleared customs declaration is active: its duty and excise replace any Uzbekistan Customs Duty cost line in the next voucher (VAT is never capitalized).,Расмийлаштирилган божхона декларацияси фаол: унинг божи ва акцизи кейинги ваучердаги «Ўзбекистон божхона божи» қаторини алмаштиради (ҚҚС ҳеч қачон капиталлаштирилмайди).
A company with this name already exists.,Бу номдаги компания аллақачон мавжуд.
A container ahead of its invoice is not corrected automatically — fix it on the container.,Инвойсдан олдинда кетган контейнер автоматик тузатилмайди — уни контейнер саҳифасида тузатинг.
A customer cannot be its own parent.,Мижоз ўзига ўзи бош бўла олмайди.
A draft Purchase Invoice is created for review — it is not posted to the ledger until Accounts submits it. The customs docs value is excluded.,Текшириш учун қоралама харид фактураси яратилади — бухгалтерия тасдиқламагунча дафтарга ўтмайди. Божхона (docs) қиймати ҳисобга олинмайди.
A few quick questions and you're ready to sell.,Бир неча тезкор савол — ва сотишга тайёрсиз.
A GRN checklist is created from a commercial invoice once cargo is ready to receive.,Қабул варақаси тижорат инвойсидан юк қабулга тайёр бўлганда яратилади.
A group title is required.,
"A hand-entered {0} cost on container {1} is already capitalized by {2}. The bill was linked, but its cost was not added a second time.","{1} контейнеридаги қўлда киритилган {0} харажати аллақачон {2} билан капиталлаштирилган. Ҳисоб-фактура боғланди, лекин унинг суммаси иккинчи марта қўшилмади."
A kassir with this Telegram User ID already exists.,Бундай Telegram User ID эга кассир аллақачон мавжуд.
"A line on this order is priced by size, so the measurement columns cannot be hidden.","Бу буюртмадаги бир қатор ўлчамга қараб нархланади, ўлчам устунларини яшириб бўлмайди."
A mapping for employee {0} with device user ID {1} already exists ({2}).,
A new version is available.,Янги версия мавжуд.
A password reset email will be sent. The account is disabled until the user sets a password.,Парол қайта тиклаш электрон хати юборилади. Ҳисоб фойдаланувчи парол белгилагунча ўчирилган ҳолатда қолади.
A Payroll Attendance Summary for employee {0} and period {1} already exists: {2},
A quotation needs at least one line.,Таклифда камида битта қатор бўлиши керак.
A rejection reason is required.,Рад этиш сабаби талаб қилинади.
A selected location does not belong to this customer chain.,Танланган манзил ушбу мижозлар занжирига тегишли эмас.
A status correction reason is required to move {0} back from {1} to {2}.,{0} ни {1} дан {2} га қайтариш учун ҳолатни тузатиш сабаби керак.
A status with that name already exists.,
A step is late when its average wait passes the threshold set for that step,Босқич ўртача кутиш ўз чегарасидан ошганда кечиккан ҳисобланади
A submitted import order can no longer be edited here.,
A submitted truck receipt can no longer be edited.,Тасдиқланган юк қабулини энди таҳрирлаб бўлмайди.
A supplier is required.,Етказиб берувчи талаб қилинади.
A tender lot must belong to a Parent Tender.,Тендер лоти Асосий тендерга тегишли бўлиши керак.
A truck number is required.,Юк машинаси рақами талаб қилинади.
A valid commercial invoice for this company is required.,Ушбу компания учун ҳақиқий тижорат инвойси талаб қилинади.
A valid email is required,Тўғри электрон манзил зарур.
A valid supplier is required.,Ҳақиқий етказиб берувчи талаб қилинади.
A valid truck for this company is required.,Ушбу компания учун ҳақиқий юк машинаси талаб қилинади.
A valid veterinary certificate is required to complete this GRN.,Ушбу GRNни якунлаш учун амалдаги ветеринария сертификати талаб қилинади.
A valid veterinary certificate is required.,Амалдаги ветеринария сертификати талаб қилинади.
"A ≤ {0}%, B ≤ {1}%, C rest — by revenue.","А ≤ {0}%, B ≤ {1}%, C қолган — тушум бўйича."
"A ≤ {0}%, B ≤ {1}%, C rest — by spend.","А ≤ {0}%, B ≤ {1}%, C қолган — харажат бўйича."
"A ≤ {0}%, B ≤ {1}%, C rest — by {2}. Submitted; returns netted.","А ≤ {0}%, B ≤ {1}%, C қолган — {2} бўйича. Тасдиқланган; қайтаришлар нетто."
Abbr,Қисқартма
Absent,Йўқ
I have written it down,Ёзиб олдим
Pickup code,Олиш коди
Transfer registered,Пул ўтказмаси рўйхатга олинди
Write this code down and hand it to the sender now. It is shown once and cannot be recovered.,Бу кодни ёзиб олинг ва ҳозир жўнатувчига беринг. У бир марта кўрсатилади ва қайта тиклаб бўлмайди.
absent,келмаган
Accept Return,
Accepted,Қабул қилинган
Access denied to tender module.,Тендер модулига рухсат йўқ.
Access Review,Киришни текшириш
Access token,
Access token (JWT),
Account,Ҳисоб
Account created.,
Account currency,
Account currency must match the payment account.,Ҳисоб валютаси тўлов ҳисобининг валютасига мос келиши керак.
Account disabled.,
Account enabled.,
Account Ledger,Ҳисоб Журнали
Account matches,Ҳисоб мос келади
Account name,
Account name is required.,
Account number,
Account number {0} is already used in {1}.,
Account or cost centre…,
Account type,
Account updated.,
Account {0} is not a {1} account for party {2}.,
Account {0} not found.,
Accounting entries,
Accounting must cancel and re-book the invoice to correct the ledger.,"Ҳисобни тузатиш учун бухгалтерия ҳисоб-фактурани бекор қилиб, қайта китобга олиши керак."
Accounting voucher,Бухгалтерия ҳужжати
Accounts,Ҳисоблар
Accounts frozen up to (date),
Accounts payable,Кредиторлик қарзлари
Accounts receivable,Дебиторлик қарзлари
Accrual (bill date),Ҳисоблама (харид ҳисоб-фактура санаси)
Accrual (invoice date),Ҳисоблама (сотув ҳисоб-фактура санаси)
Accrual failed.,Ҳисоблаш муваффақиятсиз.
Accrue,Ҳисоблаш
Accrue period,Даврни ҳисоблаш
Accrue salary,Ойлик таҳаккук
Accrue this period?,Бу давр ҳисоблансинми?
Accrued,Ҳисобланган
Accrued {0} employees.,{0} ходим ҳисобланди.
Acquisition portfolio is not in your role scope.,Харид портфели ролингиз доирасига кирмайди.
Acquisition report,Жалб қилиш ҳисоботи
across all statuses,барча ҳолатлар бўйича
across every working step,барча иш босқичларида
Action,Амал
Action failed.,Амал бажарилмади.
Actions,Амаллар
Activation rate,Конверсия
Active,Фаол
active,
Active Company,
active contracts,фаол шартнома
Active contracts — serving,Фаол шартномалар — хизмат кўрсатмоқдамиз
Active from,
active parent tenders,фаол асосий тендерлар
active staff,фаол ходим
Active tenders,Фаол тендерлар
Active to,
Activities,Фаолиятлар
Activity,Фаолият
Actual,Ҳақиқий
Actual Arrival,Ҳақиқий етиб келиш
Actual arrival,Ҳақиқий етиб келиш
Actual invoice margin,Ҳисоб-фактуралар бўйича ҳақиқий маржа
Actual landed,Ҳақиқий етказилган
actual so far,ҳозирча ҳақиқий
Add,Қўшиш
Add a column to start organising your deals.,Битимларни тартибга солишни бошлаш учун устун қўшинг.
Add a customer,Мижоз қўшиш
Add a line…,Қатор қўшиш…
Add a row or fill from a vendor category.,Қатор қўшинг ёки категориядан тўлдиринг.
Add a service account to site_config.json key,
Add a stage to start tracking contracts.,Шартномаларни кузатиш учун босқич қўшинг.
Add a Telegram cashier to give bot access to a cash/bank account.,Ботга касса/банк ҳисобига кириш ҳуқуқини бериш учун Telegram кассир қўшинг.
Add a warehouse to start tracking stock locations.,Аларни кузатишни бошлаш учун омбор қўшиш.
Add an asset…,Актив қўшиш…
Add another item,Бошқа товар қўшиш
Add at least one item line.,Камида бир товар қатори қўшиш.
Add at least one item with a positive quantity.,Камида битта ижобий миқдордаги маҳсулот қўшинг.
Add at least one raw material line.,Камида битта хом ашё қаторини қўшинг.
Add certificate,Сертификат қўшиш
Add charge line,Харажат қаторини қўшиш
Add child account,
Add child warehouse,Қўш омбор қўшиш
Add column,Устун қўшиш
Add cost item,Харажат моддасини қўшиш
Add cost line,Харажат қаторини қўшиш
Add customer,Мижоз қўшиш
Add Deal,
Add deal,Битим қўшиш
Add Decision,Қарор қўшиш
Add delivery notes or remarks…,Етказиб бериш эслатмалари ёки изоҳларини қўшинг…
Add expense,Харажат қўшиш
Add holiday,Байрам қўшиш
Add import expense,Импорт харажати қўшиш
Add item,Товар қўшиш
Add item to stock,Омборга товар қўшиш
Add landed cost voucher,Етказилган таннарх ваучерини қўшиш
Add Lane,Йўлак қўшиш
Add line,Қатор қўшиш
Add location,Манзил қўшиш
Add outlet,Сотув жойи қўшиш
Add PO link,ХБ боғланишини қўшиш
Add Price,Нарх қўшиш
Add punch,
Add quotation,Таклиф қўшиш
Add Row,
Add row,Қатор қўшиш
Add stage,Босқич қўшиш
Add subcategory,Қуйи турғун қўшиш
Add supplier,Таъминотчи қўшиш
Add supplier quotations to compare them and record an award.,Таққослаш ва ғолибни белгилаш учун етказиб берувчи таклифларини қўшинг.
Add Task,Вазифа қўшиш
Add to Google Calendar,Google Календарга қўшиш
Add to landed cost,Якуний таннархга қўшиш
Add to stock,Омборга қўшиш
Add voucher,Ваучер қўшиш
Add warehouse,Омбор қўшиш
Add your first customer to start sending quotes and invoices.,"Биринчи мижозни қўшиб, чалон ва ҳисоб-фактураларни юбора бошлаш."
Add your first employee to start tracking attendance, leave and payroll.
"Add your first employee to start tracking attendance, leave and payroll.","Биринчи ходимни қўшиб, ҳозирлик, таътил ва маошни кузатишни бошлаш."
Add your first supplier to start recording bills and purchases.,"Биринчи таъминотчини қўшиб, счёталар ва сотиб олишларни рўйхатга олишни бошлаш."
Added {count} item lines from selected PIs.,Танланган проформалардан {count} та товар қатори қўшилди.
Added {count} items from category.,Категориядан {count} та маҳсулот қўшилди.
Additional,
additional,қўшимча
Additional duties,
Additional-duties allowance,Қўшимча вазифа устамаси
Address,Манзил
Adjust dates or check that {company} has posted transactions in this period.,Саналарни ўзгартириш ёки {company} бу давр ичида амаллар рўйхатга олганини текширинг.
Adjust filters and run the report again.,
Adjust quantities for a partial receipt. Rows left at zero are skipped.,Қисман қабул қилиш учун миқдорларни ўзгартиринг. Нол қолдирилган қаторлар ўтказиб юборилади.
Adjustment,Тузатиш
Admin,Администратор
Administer users & roles,Фойдаланувчилар варолларни бошқариш
Advance,Аванс
advance,аванс
Advance %,Аванс %
Advance 70%,Бўнак 70%
Advance 70% Payment Entry,70% аванс тўлови ҳужжати
Advance Allocated,Ажратилган аванс
Advance allocation,Авансни тақсимлаш
Advance amount,
Advance amount must be greater than zero.,
Advance Applied,Ҳисобга олинган аванс
Advance applied to this CI,Ушбу CI га ҳисобга олинган аванс
Advance Balance,Аванс қолдиғи
Advance base,Аванс асоси
Advance containers,Контейнерларни илгарилатиш
Advance containers to the invoice status,Контейнерларни инвойс ҳолатига илгарилатиш
Advance deduction,Аванс ушлаб қолиш
Advance deduction cannot be negative.,Аванс ушлаш манфий бўлиши мумкин эмас.
Advance deduction must be a number.,
Advance for this CI,Ушбу CI учун аванс
Advance In,Келиб тушган аванс
Advance paid,Авансий тўланган
Advance Paid,Тўланган аванс
Advance paid.,Аванс тўланди.
Advance Payment,Аванс тўлови
Advance payments,Аванс тўловлари
Advance Payments,Аванс тўловлари
Advance Pending Approval,Тасдиқ кутаётган аванс
Advance planned for this CI,Ушбу CI учун режалаштирилган аванс
